"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC22A7",0.228854640517729,0.00208440525357451,1.70887226836692,0.0874746666302632,0.104078526161474,-5.76454867465879
"PMP22",-0.228586351947602,-0.00258334034025161,-1.70686894041878,0.0878464692387596,0.104509881107225,-5.76795203176994
"FLRT3",0.22845410168939,0.00068136594533181,1.70588141926461,0.0880302141766196,0.104717438751165,-5.76962821480684
"OR3A2",0.228302746213429,0.000422555135532651,1.70475123822502,0.0882408835683812,0.104956977577698,-5.7715453532496
"BAG1",0.228215486751584,-0.00349217421424433,1.70409966623084,0.0883625232915375,0.105090581880301,-5.7726500445358
"TMEM129",0.2281340180335,0.00927848781753209,1.70349133409146,0.0884762126961346,0.105214703609874,-5.77368104470555
"CCDC71",0.228047621597793,-0.00506176871323311,1.70284620636876,0.0885969075073091,0.105347129034142,-5.77477400377521
"CAPNS2",-0.22800833645617,-0.013270583347999,-1.70255286169842,0.088651832261326,0.105401330179615,-5.77527084397467
"RPH3A",0.227843376559697,-0.00270120963134254,1.70132109557895,0.0888827631275713,0.105664757809334,-5.77735616171076
"ZFHX4",0.22756180705672,-0.00580364151848837,1.69921859805402,0.0892780578040374,0.106123506763902,-5.780912097043
"DEFA4",0.227551117491825,0.014419760106052,1.69913877838784,0.0892930927094655,0.106130197518266,-5.7810470086973
"KLRB1",-0.227070018129146,0.0161665910598878,-1.69554637861238,0.0899718743804504,0.106914650781012,-5.78711234204622
"ADRA2C",0.22706989597458,0.00240400467716889,1.6955454664764,0.0899720472538962,0.106914650781012,-5.78711388044756
"OR4A47",0.226896396612837,0.00337297399548199,1.69424993562245,0.0902178539777249,0.107195455605589,-5.78929807721116
"DNM3",-0.226558064314957,0.0177233995820703,-1.69172358666997,0.0906987434995618,0.107755493619623,-5.79355256623514
"JMY",0.226469184609381,0.00837925856396175,1.69105991621201,0.0908254142805526,0.107894625113442,-5.79466916515333
"AMHR2",-0.226432783037937,0.0122895481416395,-1.69078810334501,0.0908773346170722,0.107944938044471,-5.79512635292975
"FAM50B",-0.226311784083511,0.00179933221592156,-1.68988459639731,0.0910500895617887,0.108138753739543,-5.79664551859226
"PKIB",-0.226275127041619,0.0124201095924721,-1.68961087591611,0.0911024783422123,0.108189586689315,-5.79710559469556
"SMAD7",0.226267221978089,0.00558815042452633,1.68955184830008,0.0911137791196555,0.108191619638715,-5.79720479999262
"OR2J2",0.225923456243712,-0.00392440152388655,1.68698492752905,0.0916063047293774,0.108765014864944,-5.80151556611319
"TP53INP1",0.225423781348624,0.00634471403524288,1.68325382306255,0.0923260200118898,0.109602740371255,-5.80776972037616
